"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","78,139.01","77,982.57","78,305.34","77,560.79","6.07M","-0.14%"
"30-12-2024","78,248.13","78,637.58","79,092.70","78,077.13","8.94M","-0.57%"
"27-12-2024","78,699.07","78,607.62","79,043.15","78,598.55","7.69M","0.29%"
"26-12-2024","78,472.48","78,557.28","78,898.37","78,173.38","5.57M","0.00%"
"24-12-2024","78,472.87","78,707.37","78,877.36","78,397.79","6.18M","-0.09%"
"23-12-2024","78,540.17","78,488.64","78,918.12","78,189.19","10.32M","0.64%"
"20-12-2024","78,041.59","79,335.48","79,587.15","77,874.59","9.00M","-1.49%"
"19-12-2024","79,218.05","79,029.03","79,516.17","79,020.08","6.53M","-1.20%"
"18-12-2024","80,182.20","80,666.26","80,868.02","80,050.07","4.67M","-0.62%"
"17-12-2024","80,684.45","81,511.81","81,613.64","80,612.20","4.89M","-1.30%"
"16-12-2024","81,748.57","82,000.31","82,116.44","81,551.28","5.17M","-0.47%"
"13-12-2024","82,133.12","81,212.45","82,213.92","80,082.82","11.31M","1.04%"
"12-12-2024","81,289.96","81,476.76","81,680.97","81,211.64","7.80M","-0.29%"
"11-12-2024","81,526.14","81,568.39","81,742.37","81,383.42","6.28M","0.02%"
"10-12-2024","81,510.05","81,575.96","81,726.34","81,182.69","5.61M","0.00%"
"09-12-2024","81,508.46","81,602.58","81,783.28","81,411.55","6.36M","-0.25%"
"06-12-2024","81,709.12","81,887.54","81,925.91","81,506.19","8.84M","-0.07%"
"05-12-2024","81,765.86","81,182.74","82,317.74","80,467.37","7.51M","1.00%"
"04-12-2024","80,956.33","81,036.22","81,245.39","80,630.53","7.24M","0.14%"
"03-12-2024","80,845.75","80,529.20","80,949.10","80,244.78","9.40M","0.74%"
"02-12-2024","80,248.08","79,743.87","80,337.82","79,308.95","7.30M","0.56%"
"29-11-2024","79,802.79","79,032.99","79,923.90","79,026.18","8.92M","0.96%"
"28-11-2024","79,043.74","80,281.64","80,447.40","78,918.92","7.91M","-1.48%"
"27-11-2024","80,234.08","80,121.03","80,511.15","79,844.49","5.70M","0.29%"
"26-11-2024","80,004.06","80,415.47","80,482.36","79,798.67","10.44M","-0.13%"
"25-11-2024","80,109.85","80,193.47","80,473.08","79,765.99","13.98M","1.25%"
"22-11-2024","79,117.11","77,349.74","79,218.19","77,226.69","17.05M","2.54%"
"21-11-2024","77,155.79","77,711.11","77,711.11","76,802.73","8.82M","-0.54%"
"19-11-2024","77,578.38","77,548.00","78,451.65","77,411.31","7.15M","0.31%"
"18-11-2024","77,339.01","77,863.54","77,886.97","76,965.06","8.24M","-0.31%"
"14-11-2024","77,580.31","77,636.94","78,055.52","77,424.81","10.10M","-0.14%"
"13-11-2024","77,690.95","78,495.53","78,690.02","77,533.30","7.41M","-1.25%"
"12-11-2024","78,675.18","79,644.95","79,820.98","78,547.84","6.36M","-1.03%"
"11-11-2024","79,496.15","79,298.46","80,102.14","79,001.34","16.91M","0.01%"
"08-11-2024","79,486.32","79,611.90","79,807.26","79,117.37","10.34M","-0.07%"
"07-11-2024","79,541.79","80,563.42","80,563.42","79,419.34","8.18M","-1.04%"
"06-11-2024","80,378.13","79,771.82","80,569.73","79,459.12","20.21M","1.13%"
